country,url
Switzerland,https://www.youtube.com/watch?v=bpM6o6UiBIw&ab_channel=EurovisionSongContest
Estonia,https://www.youtube.com/watch?v=QC06nyML2xg&ab_channel=EurovisionSongContest
Russia,https://www.youtube.com/watch?v=l01wa2ChX64&ab_channel=EurovisionSongContest
Austria,https://www.youtube.com/watch?v=1sY76L68rfs&ab_channel=EurovisionSongContest
Australia,https://www.youtube.com/watch?v=ghT5QderxCA&ab_channel=EurovisionSongContest
Ukraine,https://www.youtube.com/watch?v=U7-dxzp6Jvs&ab_channel=EurovisionSongContest
Spain,https://www.youtube.com/watch?v=qb5FXBwSx44&ab_channel=EurovisionSongContest
Denmark,https://www.youtube.com/watch?v=axzrdVUdQzQ&ab_channel=EurovisionSongContest
Cyprus,https://www.youtube.com/watch?v=mk4amZlPa4g&ab_channel=EurovisionSongContest
San Marino,https://www.youtube.com/watch?v=eRAN7AzEKak&ab_channel=EurovisionSongContest
Portugal,https://www.youtube.com/watch?v=2hAlp3Khsnk&ab_channel=EurovisionSongContest
Serbia,https://www.youtube.com/watch?v=FSTMz-_kbVQ&ab_channel=EurovisionSongContest
The Netherlands,https://www.youtube.com/watch?v=p4Fag4yajxk&ab_channel=EurovisionSongContest
Moldova,https://www.youtube.com/watch?v=1zvnsvxA3to&ab_channel=EurovisionSongContest
Romania,https://www.youtube.com/watch?v=TkRAWrDdNwg&ab_channel=EurovisionSongContest
Belgium,https://www.youtube.com/watch?v=0EQyG1Yjlgw&ab_channel=EurovisionSongContest
Albania,https://www.youtube.com/watch?v=Q4D_RfEFwd4&ab_channel=EurovisionSongContest
Slovenia,https://www.youtube.com/watch?v=p5LW-09r2JQ&ab_channel=EurovisionSongContest
Ireland,https://www.youtube.com/watch?v=z6ZUBzqPxds&ab_channel=EurovisionSongContest
Germany,https://www.youtube.com/watch?v=ydgxZnHFLi4&ab_channel=EurovisionSongContest
Finland,https://www.youtube.com/watch?v=cIvaeu6Oxzc&ab_channel=EurovisionSongContest
Norway,https://www.youtube.com/watch?v=bp2kfhuv8ZU&ab_channel=EurovisionSongContest
Czech Republic,https://www.youtube.com/watch?v=Kxa3ZtxIdxQ&ab_channel=EurovisionSongContest
Croatia,https://www.youtube.com/watch?v=lT277q29VpE&ab_channel=EurovisionSongContest
France,https://www.youtube.com/watch?v=-9t_SwPN31s&ab_channel=EurovisionSongContest
Lithuania,https://www.youtube.com/watch?v=0rsUJWSwb0c&ab_channel=EurovisionSongContest
Israel,https://www.youtube.com/watch?v=opmTs9uvENI&ab_channel=EurovisionSongContest
Azerbaijan, https://www.youtube.com/watch?v=igQ1P8LIv7w&ab_channel=EurovisionSongContest
United Kingdom, https://www.youtube.com/watch?v=BMDGTsa_Qq0&ab_channel=EurovisionSongContest
North Macedonia, https://www.youtube.com/watch?v=HbXczPgRI7Y&ab_channel=EurovisionSongContest
Poland, https://www.youtube.com/watch?v=xsWwLWaZBq8&ab_channel=EurovisionSongContest
